Micro Emulation GUID,Micro Emulation Name,Technique ID,Micro Emulation URL,Technique Mapping
495a74a2-c35b-4df1-9a7e-6d823d11d57d,File Access and File Modification,T1486,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/file_access,to_validate
495a74a2-c35b-4df1-9a7e-6d823d11d57d,File Access and File Modification,T1087,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/file_access,to_validate
495a74a2-c35b-4df1-9a7e-6d823d11d57d,File Access and File Modification,T1005,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/file_access,to_validate
495a74a2-c35b-4df1-9a7e-6d823d11d57d,File Access and File Modification,T1555,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/file_access,to_validate
495a74a2-c35b-4df1-9a7e-6d823d11d57d,File Access and File Modification,T1074,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/file_access,to_validate
80bd5c94-e073-4a29-9b6b-44bd8e44cbf3,Named Pipes,T1559,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/named_pipes,to_validate
80bd5c94-e073-4a29-9b6b-44bd8e44cbf3,Named Pipes,T1055,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/named_pipes,to_validate
80bd5c94-e073-4a29-9b6b-44bd8e44cbf3,Named Pipes,T1068,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/named_pipes,to_validate
80bd5c94-e073-4a29-9b6b-44bd8e44cbf3,Named Pipes,T1134,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/named_pipes,to_validate
80bd5c94-e073-4a29-9b6b-44bd8e44cbf3,Named Pipes,T1570,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/named_pipes,to_validate
80bd5c94-e073-4a29-9b6b-44bd8e44cbf3,Named Pipes,T1018,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/named_pipes,to_validate
c16ee1d2-0bc4-41ab-a95e-8ab109d35d57,Windows Registry,T1547.001,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/windows_registry,validated
c16ee1d2-0bc4-41ab-a95e-8ab109d35d57,Windows Registry,T1552.002,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/windows_registry,validated
c16ee1d2-0bc4-41ab-a95e-8ab109d35d57,Windows Registry,T1543.003,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/windows_registry,validated
c16ee1d2-0bc4-41ab-a95e-8ab109d35d57,Windows Registry,T1546,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/windows_registry,validated
c16ee1d2-0bc4-41ab-a95e-8ab109d35d57,Windows Registry,T1112,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/windows_registry,validated
c16ee1d2-0bc4-41ab-a95e-8ab109d35d57,Windows Registry,T1027.011,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/windows_registry,validated
0653fc7c-c5a1-487c-8da1-cf51b6568e06,Web Shells,T1505.003,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/webshell,validated
0653fc7c-c5a1-487c-8da1-cf51b6568e06,Web Shells,T1059,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/webshell,validated
0653fc7c-c5a1-487c-8da1-cf51b6568e06,Web Shells,T1071,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/webshell,validated
65a36637-c7c1-4a3e-87bf-2f896944d764,Process Injection,T1055,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/process_injection,validated
65a36637-c7c1-4a3e-87bf-2f896944d764,Process Injection,T1059,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/process_injection,validated
b24db104-6484-4f5f-9066-3f3a6630db35,User Execution,T1204.002,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/blob/master/micro_emulation_plans/src/user_execution,validated
b24db104-6484-4f5f-9066-3f3a6630db35,User Execution,T1059,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/blob/master/micro_emulation_plans/src/user_execution,validated
f7ee5a15-6e54-4b50-b3f7-3fbb4a19a31f,Active Directory Enumeration,T1087,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/ad_enum,to_validate
f7ee5a15-6e54-4b50-b3f7-3fbb4a19a31f,Active Directory Enumeration,T1135,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/ad_enum,to_validate
f7ee5a15-6e54-4b50-b3f7-3fbb4a19a31f,Active Directory Enumeration,T1069,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/ad_enum,to_validate
f7ee5a15-6e54-4b50-b3f7-3fbb4a19a31f,Active Directory Enumeration,T1018,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/ad_enum,to_validate
f7ee5a15-6e54-4b50-b3f7-3fbb4a19a31f,Active Directory Enumeration,T1049,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/ad_enum,to_validate
f7ee5a15-6e54-4b50-b3f7-3fbb4a19a31f,Active Directory Enumeration,T1033,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/ad_enum,to_validate
43c6da74-4969-4a8f-a524-85218c04c013,Reflective Code Loading,T1620,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/reflective_loading,validated
0a6f44e5-1c3e-45c7-ba4b-52de94dd2433,Remote Application Exploitation,T1059,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/apache_rce,validated
0a6f44e5-1c3e-45c7-ba4b-52de94dd2433,Remote Application Exploitation,T1190,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/apache_rce,validated
9a7a6f48-143f-4bd0-8971-cd2fca8799c8,Clear Windows Event Logs,T1070.001,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/log_clearing,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1083,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1005,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1560.002,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1074.001,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1027,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1048,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
1a456b51-23a4-4c33-8b1b-3348d59c177d,Data Exfiltration,T1070.004,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/data_exfil,validated
93e70372-620d-48e4-9485-8c8e2b0d22d1,DLL Side-loading,T1574.002,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/dll_sideloading,validated
93e70372-620d-48e4-9485-8c8e2b0d22d1,DLL Side-loading,T1083,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/dll_sideloading,validated
93e70372-620d-48e4-9485-8c8e2b0d22d1,DLL Side-loading,T1135,https://github.com/center-for-threat-informed-defense/adversary_emulation_library/tree/master/micro_emulation_plans/src/dll_sideloading,validated
